,left_queue_first_color,left_queue_avgs_avg_waiting_times,left_queue_avgs_avg_green_waiting_times,left_queue_avgs_avg_queue_length,left_queue_avgs_drivers_served,left_queue_avgs_no_stop_drivers,left_queue_avg_queue_length,left_queue_avg_cycle_wait,left_queue_direction,right_queue_first_color,right_queue_avgs_avg_waiting_times,right_queue_avgs_avg_green_waiting_times,right_queue_avgs_avg_queue_length,right_queue_avgs_drivers_served,right_queue_avgs_no_stop_drivers,right_queue_avg_queue_length,right_queue_avg_cycle_wait,right_queue_direction
low low,green,10.267073545874714,2.149941258293947,0.9499278845334586,359.76666666666665,27.782666666666668,1.6,0.5340909090909091,left,red,10.316834139071792,2.1651490398680053,0.9583671883721286,361.3,27.742666666666665,1.5085714285714287,0.5057471264367817,right
low mid,green,10.72382365526608,2.245480749658234,1.0037570625526842,362.0,26.53833333333333,1.7976878612716762,0.6091954022988506,left,red,17.175203298374303,4.5990852796457125,2.735322243603076,599.3333333333334,13.274000000000001,5.520231213872832,3.8255813953488373,right
low high,green,11.337812576063795,2.405355846617334,1.0861823213969046,360.8666666666667,24.372,1.5491329479768785,0.4482758620689655,left,red,23.899111729206304,5.87107257209147,4.219081732543709,659.1666666666666,7.170000000000002,4.456647398843931,2.5697674418604652,right
mid mid,green,19.756280834337552,4.879356455916626,3.125786144824652,596.8666666666667,11.067000000000002,3.5722543352601157,1.9540229885057472,left,red,20.554856645379143,4.9950034748344505,3.335922841557189,600.1,10.674666666666667,3.7803468208092488,2.0813953488372094,right
mid high,green,25.51494399241072,5.256741225182081,4.130912558433301,603.3,8.31,4.5321637426900585,2.7674418604651163,left,red,32.06287997716759,6.2325004041706205,5.7149201596766686,651.9333333333333,4.911000000000001,6.005847953216374,4.105882352941176,right
high high,green,44.692669529333294,6.312779741023803,7.967595601851858,651.2666666666667,3.8329999999999997,5.035087719298246,3.197674418604651,left,red,44.316813934042834,6.262264509125905,7.888977229685889,646.9666666666667,3.878333333333333,6.491228070175438,4.623529411764705,right
