,avgs_normal,avgs_control_system
0,"[10.533770333694083, 10.000051052833538, 10.230885697331564, 10.179059900931097, 10.156917042082496, 10.303614774531026, 9.43138178766434, 9.792828368123622, 10.345196242727859, 9.470434380278634, 10.500068994283623, 10.209746466331163, 10.05702377112135, 10.275487325783972, 9.897010793371274, 10.028810423478657, 10.252060528673836, 10.642958432335085, 10.239755077660277, 9.673754207421208, 10.402997023348188, 10.153066395296808, 10.41663328203029, 10.314639642604599, 11.133682169890319, 9.901498945126022, 10.518266777084081, 10.219435629556187, 10.618238818221535, 9.990140570426112]","[10.240160911651373, 10.092735750785817, 9.882503521533831, 10.2714519373297, 10.854582115647302, 10.535757142857143, 9.8122007260101, 10.77692439548942, 10.91906012581169, 9.871307863782803, 10.477666015144194, 9.644117081784534, 10.640155207540907, 10.16558838132655, 9.61153248641673, 10.362517937853106, 10.374304757501665, 10.134670639336814, 9.364135694822888, 10.350219493478107, 10.337509067120944, 10.566781469438869, 10.274333775946275, 11.413354459500038, 10.163268803322495, 10.668701261127598, 10.775014765296802, 9.677916489997937, 10.536481824232467, 9.963661172109404]"
1,"[13.427724861524936, 15.924377483938652, 19.76842995826435, 12.312950583681559, 18.396378859840713, 15.956886585846922, 13.570313948938807, 18.099742901752588, 14.685313967532469, 15.348965471375623, 21.43851906852343, 15.26931071099066, 18.137298101314197, 20.534992151612098, 11.936265515140969, 13.727751163430895, 15.778344243408261, 13.273122139849544, 12.958049598149728, 13.934718646742354, 21.92366322297054, 15.379877153728412, 14.289765482954547, 15.828063671792151, 14.585967028186104, 18.59880628625692, 14.75463977308588, 13.480367411805048, 11.178935755608029, 14.516700992859523]","[19.80746890126266, 11.752863404598326, 12.860096272601831, 12.762623851326955, 12.39645525114478, 14.410156067013514, 14.105892378011307, 15.777269018783231, 19.274324514825956, 14.048746586350974, 13.135361180978997, 14.393627167468281, 14.447634624150341, 11.685586388997017, 12.80431524954978, 13.40483878905042, 13.518817961420243, 13.010850672572177, 15.684263008627351, 14.921951326370117, 11.934966698317961, 13.194177959624568, 13.27184681542079, 13.062662196649946, 14.694845443314602, 12.808998335340963, 13.66377313249832, 13.61689000485292, 13.272907579000123, 14.76119352448129]"
2,"[18.994018996598236, 23.05152027002519, 17.439985974297127, 23.42700893432476, 37.44091625224521, 84.21791067607299, 29.610515468330924, 15.825047997128234, 20.926192333584947, 23.037734682582027, 63.130327833942616, 27.377878598661205, 25.70527198700832, 38.1007966584436, 22.874859347488137, 32.613732381045246, 17.955039071459137, 30.97519149050423, 30.60644557663894, 25.92910274867989, 32.992298535353534, 24.493937288683526, 50.320786251920126, 25.95828054306122, 21.622951553454435, 41.55488632276867, 46.599070997850305, 25.47557812714535, 21.756125079474494, 25.927201256426056]","[15.80533300682728, 16.56111521720819, 15.219981376964753, 17.9714605497707, 17.07365845067834, 16.450368361500832, 15.187985897867588, 16.083415946468406, 18.697045953968185, 17.48696238032424, 22.358953601716735, 18.812644415103225, 19.017538819367452, 17.80622118751726, 14.08814468771025, 16.868886665426857, 20.576404987536655, 15.115119978707328, 16.522212961366275, 17.562445105869244, 19.2691147800207, 18.50444443779226, 17.11138715263065, 16.49591293110236, 17.24222077376207, 19.902687340003446, 17.091044343357567, 17.83820425444321, 21.576080436076605, 18.256868577962848]"
3,"[40.754961434280645, 18.837690199335547, 17.618556192975838, 18.780279057078985, 25.22581165450393, 22.848466072161745, 16.733501211484594, 18.557958691400636, 18.810066022974844, 18.712765071758064, 36.93849258555379, 24.405414450632833, 19.43287432886453, 19.450119551945484, 19.78461388541224, 28.41918998711914, 15.891867697758212, 24.603535338504084, 18.550215486341244, 15.964215297619049, 21.738275692887495, 23.612112347507768, 26.04668161397803, 21.892167915920286, 23.081257148027113, 17.649860641304343, 17.852599996376814, 21.813005643902546, 17.462987586422045, 20.46733079438249]","[18.296429946831157, 16.389478042493906, 21.136806415251158, 26.818820256680716, 14.798018806509944, 16.8312297225034, 15.180832956508688, 19.726787252404243, 27.63367112673266, 21.59358932181022, 21.941962496420487, 23.161570471655864, 27.577675928910374, 16.7625206782645, 17.312019166223642, 15.972810423465422, 16.059921230967433, 17.743274690469107, 20.71579924844071, 15.509935841446135, 19.64015617501181, 20.663052943997787, 18.480605268342472, 22.23870833427892, 17.69730965962429, 18.605027163671423, 26.71560380967997, 21.5310302183892, 19.198027712353188, 28.734386886411684]"
4,"[39.56512608363843, 27.95040763307808, 47.21214519436127, 50.89789124627684, 35.492343734402404, 38.827522040267716, 23.470553260916095, 34.45929307916107, 27.773249135753225, 50.17750614285788, 29.64171412586827, 35.01096732905846, 34.363850617423495, 59.063240324068744, 32.952754991091204, 29.968614573797428, 34.219296984341995, 32.609634622202584, 26.003799893861164, 29.418149388693504, 26.32312678872054, 38.294300486708906, 28.245470659558645, 23.96405632361226, 21.413912065735506, 33.685557200776145, 47.96405285616472, 27.31796399866581, 36.335375945682415, 23.226798688348847]","[25.554413984207862, 40.573174770228135, 29.085747177512403, 32.759695778081564, 42.398398605623925, 28.126559924568163, 24.449098641466666, 24.91288945385022, 31.456823428553932, 18.456718385963107, 43.03812236690565, 26.38928782024089, 29.05194105098206, 20.465445636047523, 18.34724081234021, 22.996497812358868, 36.06408584665122, 26.191013327140837, 23.672892217976457, 23.95669511762084, 29.44107171098924, 19.1319784839934, 43.918759736062064, 24.711886849593498, 22.346676517659382, 28.802696757698662, 38.2160853579333, 41.02151453311055, 27.70861972485219, 20.421327713461924]"
5,"[47.69671869177019, 54.51017930646089, 73.28356968685904, 44.68431233625116, 39.3928526813795, 55.77814380573699, 31.56980090168419, 26.595962987539558, 30.747197739172506, 86.23873025574369, 44.74905293746413, 47.854296278007936, 23.065733670198007, 54.20517061513337, 47.98412330720291, 69.71735056784998, 41.2560148744872, 53.56897112462006, 38.39731987934189, 55.66571837756447, 45.98798227041831, 46.167395081127765, 79.85229150440217, 56.756507152105755, 74.67096575556333, 38.59459049281629, 52.878835486728825, 29.84364532004734, 27.795947264843555, 58.95523947342275]","[28.795220452049378, 35.69905387772166, 33.544015775880744, 41.45098185554956, 51.73292124044778, 32.86457852360006, 35.38025174619932, 48.25991304001677, 25.296351081327522, 100.62535913937651, 33.217208015267175, 25.93637882473895, 33.96163875675005, 38.80994232046301, 45.6562316129062, 84.37677287667043, 22.392862831923683, 24.94533987477621, 33.11118416358468, 27.298059889566986, 43.18392048795215, 36.773133496371685, 105.27320660265266, 51.839582599782446, 48.26087983632364, 27.35903851417214, 21.27760758065836, 84.79426056882005, 24.446928532753184, 88.57942783233908]"
