,left_queue_first_color,left_queue_avgs_avg_waiting_times,left_queue_avgs_avg_green_waiting_times,left_queue_avgs_avg_queue_length,left_queue_avgs_drivers_served,left_queue_avgs_no_stop_drivers,left_queue_avg_queue_length,left_queue_avg_cycle_wait,left_queue_direction,right_queue_first_color,right_queue_avgs_avg_waiting_times,right_queue_avgs_avg_green_waiting_times,right_queue_avgs_avg_queue_length,right_queue_avgs_drivers_served,right_queue_avgs_no_stop_drivers,right_queue_avg_queue_length,right_queue_avg_cycle_wait,right_queue_direction
low low,green,10.18917336956827,2.0964520298880966,0.926731182340202,358.1666666666667,27.597666666666665,1.701657458563536,0.6703296703296703,left,red,10.203454287381254,2.1508090734482948,0.9527543524976384,362.1333333333333,27.40466666666666,1.5303867403314917,0.5777777777777777,right
low mid,green,10.040116144219473,2.09226205920074,0.9243773574080407,359.8666666666667,28.182000000000002,1.580110497237569,0.7142857142857143,left,red,21.227633371854257,4.574264290952432,3.367900313342166,595.4333333333333,11.034666666666668,3.143646408839779,1.5333333333333334,right
low high,green,10.186093968381861,2.1746892853569006,0.971859635256335,363.06666666666666,27.127000000000002,1.3535911602209945,0.46153846153846156,left,red,51.54328024729806,5.8121689313411515,9.201166442705134,645.0,4.032333333333333,5.845303867403315,4.0,right
mid mid,green,22.428423901862967,4.487272869613751,3.6237709069694253,595.9666666666667,11.607333333333333,12.723756906077348,10.934065934065934,left,red,21.034034338031315,4.646992915705748,3.338670812024921,598.3333333333334,10.595666666666666,3.265193370165746,1.7555555555555555,right
mid high,green,21.65884485202813,4.5800445897078585,3.455901705027146,599.7,10.990000000000002,3.734806629834254,2.087912087912088,left,red,46.73106684231144,5.733175451711915,8.419651102003085,642.0333333333333,4.446666666666667,12.56353591160221,10.755555555555556,right
high high,green,49.625536403909415,5.739577268350947,8.946153666191883,648.2666666666667,4.641666666666667,14.149171270718233,12.31868131868132,left,red,48.93877158448683,5.761495354243693,8.762659762803073,644.6333333333333,4.306333333333333,5.1602209944751385,3.388888888888889,right
